다윗관 현황 보고서
1. 거주학생 수 : 40명 (남 20명, 여 20명)

2. 호실 현황
 1) 공실 : 115 201 214 215
 2) 1인실 : 101 102 105 107 110 111 113 114 202 208 209 213
 3) 2인실 : 103 104 106 108 109 112 203 204 205 206 207 210 211 212

3. 학번별 현황
 1) 2015학번 : 8명
 2) 2016학번 : 9명
 3) 2017학번 : 11명
 4) 2018학번 : 12명


4. 고벌점자(7점 이상) : 3명
Julia(7) Samuel(8) Vicky(9) 

5. 관생 목록
NO	이름	성별	학번	호실	벌점
1	Alex	[M] 	2017	202 	1
2	Alice	[F] 	2018	101 	0
3	Archie	[M] 	2018	203 	2
4	Arthur	[M] 	2015	204 	0
5	Austin	[M] 	2016	205 	0
6	Bella	[F] 	2017	103 	0
7	Benjo	[M] 	2017	206 	3
8	Brooke	[F] 	2018	104 	0
9	Charlie	[M] 	2018	207 	0
10	Daisy	[F] 	2016	106 	0
11	Daniel	[M] 	2015	208 	2
12	Darcy	[F] 	2017	107 	0
13	David	[M] 	2016	209 	0
14	Edward	[M] 	2017	210 	3
15	Elice	[F] 	2018	108 	0
16	Ethan	[M] 	2018	211 	0
17	Felix	[M] 	2015	212 	5
18	George	[M] 	2017	213 	0
19	Georgia	[F] 	2018	109 	6
20	Grace	[F] 	2016	110 	0
21	Hannah	[F] 	2017	111 	3
22	Isabel	[F] 	2018	112 	0
23	James	[M] 	2016	203 	0
24	Jessica	[F] 	2015	113 	0
25	Julia	[F] 	2016	114 	7
26	Martha	[F] 	2015	102 	1
27	Matthew	[M] 	2017	204 	2
28	Megan	[F] 	2016	103 	0
29	Nathan	[M] 	2018	205 	2
30	Oliver	[M] 	2015	206 	5
31	Olivia	[F] 	2017	104 	0
32	Owen	[M] 	2016	207 	0
33	Robert	[M] 	2017	210 	1
34	Rose	[F] 	2018	105 	2
35	Samuel	[M] 	2018	211 	8
36	Sarah	[F] 	2015	106 	0
37	Scarla	[F] 	2016	108 	2
38	Sophia	[F] 	2017	109 	0
39	Thomas	[M] 	2015	212 	0
40	Vicky	[F] 	2018	112 	9
